track.name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track.popularity
Hati-Hati di Jalan,0.643,0.436,6,-11.322,1,0.0357,0.702,0.0889,0.115,0.755,71.969,84
Cinta Sederhana,0.298,0.336,9,-8.292,1,0.0314,0.871,0.00105,0.0822,0.242,127.215,51
Kau Rumahku,0.35,0.323,1,-8.982,1,0.0369,0.873,0.00000148,0.103,0.278,169.513,62
Tak Kan Hilang (OST DJS The Movie : Biarkan Aku Menari),0.527,0.258,4,-9.499,1,0.0319,0.821,0.000172,0.148,0.347,139.928,61
Tujuh Belas,0.613,0.711,7,-6.365,1,0.0335,0.477,0.000299,0.225,0.62,108.043,57
Bertahan Terluka,0.325,0.345,5,-9.536,1,0.0311,0.495,0,0.0726,0.135,77.835,77
Janji Kita,0.461,0.402,9,-7.609,1,0.0255,0.314,0,0.117,0.125,95.868,67
Tutur Batin,0.576,0.329,10,-8.87,1,0.0487,0.813,0.000671,0.108,0.397,72.91,73
Diri,0.576,0.289,5,-9.389,1,0.0261,0.838,0.0000863,0.085,0.485,96.103,76
Hujan,0.624,0.379,5,-8.9,1,0.0282,0.805,0.00000197,0.29,0.708,92.526,68
Salah,0.637,0.484,9,-8.845,1,0.0237,0.36,0.0000366,0.171,0.786,95.023,61
Merasa Indah,0.386,0.416,4,-10.543,1,0.0306,0.766,0.0000107,0.119,0.345,122.536,81
Sisa Rasa,0.488,0.405,8,-6.324,0,0.0302,0.503,0.00000686,0.108,0.152,122.049,81
Hingga Tua Bersama,0.581,0.456,10,-8.738,1,0.0269,0.794,0.00000384,0.123,0.4,123.934,75
Kebutuhan Hati,0.549,0.51,9,-8.108,1,0.0312,0.226,0,0.111,0.401,126.015,70
Ldr,0.504,0.433,10,-9.383,1,0.0348,0.493,0.000557,0.172,0.542,83.902,67
Langit Favorit,0.287,0.299,9,-10.692,1,0.0281,0.489,0.0464,0.126,0.281,81.1,57
Trust Me With This (Mama),0.785,0.427,4,-10.247,1,0.0522,0.861,0.000151,0.105,0.693,134,58
Every Summertime,0.628,0.676,6,-4.227,1,0.0424,0.393,0.0000694,0.0978,0.723,78.996,89
Untukmu,0.347,0.353,7,-7.8,1,0.0288,0.17,0.000011,0.183,0.0966,78.768,56
Love Language,0.435,0.426,4,-9.743,1,0.0387,0.9,0.00044,0.126,0.243,132.204,57
Jangan Semudah Ini,0.453,0.277,1,-10.757,1,0.0293,0.788,0.00711,0.102,0.179,116.366,55
Sinema,0.691,0.642,11,-6.763,1,0.0273,0.233,0,0.213,0.79,100.013,53
Benar Orang Bilang,0.526,0.762,0,-6.693,1,0.0579,0.122,0,0.166,0.682,94.943,57
Hanya Singgah,0.424,0.214,0,-9.586,1,0.0347,0.928,0.00000347,0.117,0.365,124.571,58
Aku Yang Salah,0.552,0.4,1,-7.369,1,0.0304,0.71,0.00000339,0.109,0.154,119.913,72
Menghapus Jejakmu,0.763,0.631,4,-9.467,0,0.0334,0.657,0.0209,0.137,0.964,125.013,62
Please Baby Please,0.655,0.537,10,-7.728,1,0.0253,0.228,0.000256,0.12,0.58,89.997,59
Cobalah Mengerti,0.499,0.863,2,-5.746,1,0.04,0.087,0.0215,0.12,0.233,140.004,59
Selalu Bersama,0.592,0.85,11,-2.74,0,0.0432,0.175,0,0.136,0.933,143.975,54
"KIW""",0.661,0.561,2,-7.256,1,0.0347,0.389,0.00337,0.273,0.87,147.937,55
Menjadi Dia,0.472,0.283,7,-11.348,1,0.0307,0.611,0.00000134,0.126,0.287,144.147,70
Impas,0.75,0.583,7,-8.069,1,0.0477,0.0766,0.0000162,0.145,0.673,119.05,52
Memori,0.566,0.162,6,-14.735,0,0.0264,0.959,0.0000878,0.103,0.152,99.984,53
Dibanding Dia,0.365,0.223,1,-9.503,1,0.0306,0.914,0.00000532,0.0948,0.195,137.473,66
Rantau,0.412,0.345,9,-11.781,1,0.0313,0.889,0.617,0.0797,0.217,88.792,57
Sahabat Dulu - From Layangan Putus,0.509,0.233,2,-10.742,1,0.0284,0.921,0.000231,0.113,0.328,105.944,75
Roman Picisan,0.332,0.425,5,-5.339,1,0.0306,0.77,0.000187,0.124,0.385,136.044,70
Mungkin Nanti,0.555,0.678,9,-8.251,1,0.0301,0.294,0.00814,0.102,0.409,115.997,62
Dara,0.309,0.275,6,-10.619,1,0.0324,0.811,0.000236,0.137,0.277,144.833,57
Bintang di Surga,0.208,0.592,7,-13.908,1,0.0412,0.0189,0.0138,0.0823,0.305,74.297,60
Jalan Tengah,0.394,0.261,5,-10.194,1,0.0356,0.971,0.0000246,0.11,0.217,120.175,69
Overthinking,0.709,0.848,4,-3.678,0,0.0437,0.214,0.000132,0.177,0.638,106.006,54
Kepada Hati,0.329,0.438,1,-7.719,1,0.0288,0.563,0.00000424,0.124,0.197,136.072,57
"Terlalu Berharap - From ""Love Knots""",0.235,0.331,11,-9.706,1,0.0424,0.953,0.000548,0.118,0.315,77.01,58
Kangen,0.313,0.405,3,-5.801,1,0.0324,0.854,0.0000186,0.112,0.342,61.174,60
Ego,0.495,0.336,7,-9.107,1,0.0308,0.473,0.000108,0.124,0.0636,120.036,60
Pesan Terakhir,0.522,0.357,2,-8.579,1,0.0299,0.432,0.00000331,0.094,0.14,120.049,79
Patience,0.479,0.399,10,-9.802,1,0.109,0.694,0.0274,0.101,0.339,81.965,63
Yang Terdalam,0.617,0.489,11,-8.934,1,0.0363,0.136,0.00564,0.0912,0.554,137.973,73
Takkan Berhenti Mencintaimu,0.435,0.41,1,-7.017,1,0.0304,0.655,0,0.0934,0.321,127.847,59
Aku Bukan Jodohnya,0.605,0.489,3,-7.42,1,0.0246,0.575,0.00168,0.0954,0.399,80.008,77
RUNAWAY W ME,0.651,0.677,4,-7.769,1,0.138,0.197,0,0.247,0.324,129.923,58
Runtuh,0.593,0.287,3,-13.164,1,0.0289,0.876,0.000136,0.119,0.191,127.783,32
Takut,0.527,0.24,2,-8.828,1,0.0303,0.96,0.000199,0.0818,0.217,80.128,78
Birdy,0.661,0.484,6,-7.894,1,0.102,0.496,0.000368,0.104,0.795,86.058,62
Write Me Another Song,0.516,0.538,7,-9.378,1,0.0402,0.522,0.0000414,0.407,0.245,82.047,53
Berakhir Sama,0.625,0.621,10,-4.089,1,0.0519,0.201,0,0.276,0.774,90.029,68
She’s Nothing,0.503,0.85,4,-2.645,1,0.0704,0.0388,0,0.118,0.645,139.923,50
Mesin Waktu,0.441,0.308,9,-9.33,1,0.0281,0.845,0,0.136,0.381,139.798,76
Semoga Sembuh,0.611,0.554,9,-6.279,1,0.0384,0.612,0.00000546,0.659,0.612,83.927,55
Melawan Restu,0.626,0.344,7,-7.867,1,0.0318,0.808,0,0.0773,0.304,119.895,79
"Tersanjung - from ""Tersanjung The Series""",0.553,0.477,3,-8.131,1,0.0347,0.84,0.0000157,0.0831,0.193,132.078,55
Meant 2 Be,0.414,0.26,6,-7.746,1,0.0357,0.83,0,0.0822,0.224,116.237,67
Terlukis Indah,0.512,0.705,6,-6.051,0,0.0407,0.363,0,0.169,0.517,92.911,75
It's Only Me - Studio Version,0.602,0.298,4,-13.333,1,0.0385,0.31,0,0.117,0.316,119.889,78
Lantas,0.588,0.311,8,-8.143,1,0.025,0.791,0,0.352,0.545,86.022,61
Tabu - Original Soundtrack Merindu Cahaya de Amstel,0.507,0.301,5,-7.817,1,0.0262,0.901,0.0000182,0.0929,0.253,90.07,67
Orang Yang Sama,0.461,0.405,9,-7.967,1,0.0307,0.521,0.00000644,0.0801,0.442,139.932,68
Bisa Tanpamu,0.295,0.349,5,-8.244,1,0.0347,0.593,0,0.165,0.364,204.996,68
Bahaya,0.635,0.388,6,-8.647,1,0.0285,0.861,0.000327,0.111,0.432,126.062,71
Pepatah,0.597,0.696,7,-6.134,0,0.0354,0.267,0,0.13,0.497,89.943,56
Hati dan Logika,0.474,0.235,4,-10.349,0,0.0319,0.873,0.00000268,0.107,0.26,144.08,56
Picture Myself,0.674,0.343,10,-7.059,0,0.0286,0.948,0.0000115,0.124,0.292,146.019,60
Earn It,0.55,0.653,6,-5.386,0,0.166,0.394,0,0.108,0.5,98.198,49
"Cerita Remaja - Original soundtrack from ""Teluk Alaska""",0.533,0.506,7,-8.362,1,0.0257,0.43,0,0.111,0.241,90.007,57
Aku Butuh Kamu,0.467,0.261,8,-8.882,1,0.0359,0.872,0,0.0928,0.403,131.128,57
pizza pepperoni,0.721,0.484,9,-8.049,1,0.27,0.798,0.0000186,0.0965,0.551,152.01,53
Getcho Mans,0.641,0.638,1,-9.975,1,0.214,0.0224,0.0000126,0.22,0.313,174.929,66
365,0.362,0.284,0,-9.837,0,0.0327,0.882,0,0.0961,0.267,79.109,64
Mencinta Hati Yang Tak Cinta,0.594,0.369,8,-10.287,1,0.0285,0.825,0.00197,0.0928,0.318,81.829,54
Kinari (versi Lovinka Alexander),0.477,0.485,7,-7.937,1,0.0341,0.584,0.0000337,0.178,0.175,153.839,51
Tanggung Jawab,0.495,0.523,9,-6.048,1,0.0438,0.241,0,0.325,0.747,199.977,55
